,age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,X,X.1
2250,44,management,married,basic,no,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no,NA,NA
1131,34,admin.,single,university.degree,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
2695,45,services,married,basic,no,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
2927,26,blue-collar,single,high.school,no,no,telephone,nov,fri,1,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5,no,NA,NA
29,45,self-employed,divorced,professional.course,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,NA,NA
954,40,blue-collar,single,high.school,no,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
1662,57,services,married,university.degree,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
1529,28,blue-collar,single,basic,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,NA,NA
267,35,admin.,married,university.degree,no,no,cellular,may,thu,3,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,no,NA,NA
2028,27,blue-collar,single,basic,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no,NA,NA
2106,30,student,single,professional.course,no,no,cellular,sep,mon,2,9,2,failure,-1.1,94.199,-37.5,0.879,4963.6,no,NA,NA
2373,31,blue-collar,married,basic,yes,yes,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
2799,35,services,married,basic,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,NA,NA
554,34,blue-collar,married,basic,no,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no,NA,NA
826,26,management,single,university.degree,yes,no,cellular,nov,mon,5,999,0,nonexistent,-1.1,94.767,-50.8,1.039,4963.6,no,NA,NA
2293,45,admin.,divorced,university.degree,yes,no,cellular,aug,mon,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,NA,NA
1989,49,self-employed,married,professional.course,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,NA,NA
2405,31,unemployed,single,high.school,no,no,cellular,may,thu,2,999,0,nonexistent,-1.8,93.876,-40,0.692,5008.7,no,NA,NA
1961,35,management,married,high.school,yes,no,telephone,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no,NA,NA
2792,28,services,married,high.school,no,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
2586,24,self-employed,single,high.school,yes,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,NA,NA
2061,40,blue-collar,married,professional.course,yes,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
547,24,blue-collar,single,professional.course,no,no,telephone,may,tue,4,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no,NA,NA
288,58,unemployed,married,basic,yes,no,cellular,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no,NA,NA
1540,34,admin.,single,high.school,yes,yes,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
2046,59,blue-collar,divorced,basic,yes,no,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,NA,NA
638,54,self-employed,married,professional.course,yes,yes,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no,NA,NA
434,32,admin.,single,high.school,no,yes,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no,NA,NA
2825,35,management,married,university.degree,no,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no,NA,NA
1462,34,admin.,married,high.school,yes,yes,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,NA,NA
3089,58,admin.,married,high.school,no,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,NA,NA
1095,34,services,married,high.school,no,no,cellular,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,no,NA,NA
2432,41,self-employed,single,university.degree,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no,NA,NA
1644,53,blue-collar,married,basic,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no,NA,NA
2338,39,admin.,married,high.school,yes,no,telephone,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,NA,NA
1034,34,self-employed,single,university.degree,yes,no,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no,NA,NA
613,50,services,divorced,basic,no,no,telephone,sep,tue,1,999,0,nonexistent,-1.1,94.199,-37.5,0.877,4963.6,no,NA,NA
2304,34,blue-collar,married,professional.course,no,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,NA,NA
2005,43,unemployed,divorced,basic,no,no,cellular,jul,mon,7,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
2482,25,self-employed,single,university.degree,no,no,telephone,jun,mon,7,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,NA,NA
1765,35,blue-collar,married,high.school,no,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no,NA,NA
2171,55,blue-collar,divorced,basic,yes,no,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no,NA,NA
1743,50,blue-collar,married,basic,no,no,telephone,jun,tue,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,NA,NA
2494,41,blue-collar,married,basic,yes,no,telephone,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,no,NA,NA
2383,46,management,single,university.degree,yes,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,NA,NA
1441,29,blue-collar,married,high.school,no,no,telephone,jun,thu,13,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no,NA,NA
2905,48,admin.,divorced,basic,yes,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no,NA,NA
509,35,blue-collar,single,basic,no,no,cellular,nov,wed,1,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no,NA,NA
2438,54,services,married,basic,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
2830,58,unemployed,married,basic,yes,no,telephone,jun,tue,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,NA,NA
3072,33,services,married,high.school,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
2187,31,admin.,single,basic,no,no,cellular,jul,wed,5,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,NA,NA
900,55,blue-collar,married,university.degree,no,no,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
1106,27,admin.,single,high.school,yes,no,telephone,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,3.853,5195.8,no,NA,NA
2053,34,unemployed,single,university.degree,no,no,telephone,jun,mon,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,NA,NA
2682,43,blue-collar,married,basic,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
2316,36,blue-collar,married,basic,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no,NA,NA
2414,31,blue-collar,married,university.degree,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
488,30,blue-collar,married,basic,yes,no,cellular,nov,wed,1,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no,NA,NA
571,25,blue-collar,divorced,university.degree,yes,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,NA,NA
755,41,admin.,married,university.degree,no,yes,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,NA,NA
2821,43,services,divorced,high.school,no,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
2358,32,services,married,high.school,yes,yes,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no,NA,NA
2725,22,student,single,high.school,no,no,cellular,aug,thu,2,3,1,success,-2.9,92.201,-31.4,0.873,5076.2,no,NA,NA
475,41,blue-collar,divorced,basic,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,NA,NA
455,52,management,married,professional.course,yes,yes,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
2918,34,admin.,single,high.school,yes,no,telephone,jun,fri,16,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no,NA,NA
2569,50,management,married,university.degree,yes,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
890,31,admin.,married,university.degree,yes,no,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no,NA,NA
902,71,unemployed,married,basic,yes,yes,cellular,oct,tue,1,6,1,success,-3.4,92.431,-26.9,0.728,5017.5,no,NA,NA
2852,38,self-employed,married,basic,no,no,cellular,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no,NA,NA
21,34,admin.,married,university.degree,no,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
794,48,admin.,divorced,high.school,no,no,telephone,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,NA,NA
705,49,admin.,married,high.school,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,NA,NA
2983,29,management,single,university.degree,no,yes,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
358,32,management,divorced,university.degree,no,no,cellular,may,tue,3,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no,NA,NA
1482,29,blue-collar,single,university.degree,yes,no,telephone,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
268,37,admin.,divorced,high.school,no,no,telephone,may,thu,10,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no,NA,NA
196,48,services,married,high.school,no,no,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,NA,NA
1603,37,blue-collar,married,university.degree,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
1877,35,admin.,single,university.degree,yes,no,cellular,may,thu,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no,NA,NA
1087,30,blue-collar,single,basic,no,no,telephone,jun,wed,11,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,NA,NA
2704,26,admin.,married,high.school,no,no,telephone,jun,fri,6,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,NA,NA
1239,38,management,married,high.school,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
940,50,blue-collar,married,university.degree,yes,yes,cellular,sep,wed,2,999,0,nonexistent,-3.4,92.379,-29.8,0.749,5017.5,no,NA,NA
3012,35,blue-collar,married,professional.course,no,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,NA,NA
490,37,blue-collar,single,high.school,yes,no,cellular,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no,NA,NA
314,55,unemployed,married,basic,yes,no,telephone,sep,tue,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no,NA,NA
308,36,admin.,single,university.degree,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
266,47,management,divorced,basic,no,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,NA,NA
2035,47,management,married,basic,no,yes,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
2597,32,blue-collar,married,basic,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
1251,32,admin.,married,university.degree,yes,yes,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
1339,40,services,married,high.school,no,no,cellular,apr,mon,3,999,1,failure,-1.8,93.075,-47.1,1.466,5099.1,no,NA,NA
1712,35,admin.,married,high.school,yes,yes,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
878,43,blue-collar,single,basic,yes,no,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no,NA,NA
